InvoiceNo,StockCode,ProductsCategory,Quantity,InvoiceDate,UnitPrice,CustomerID,Cities,Tax 5%,Total,Gender,Payment
575112,21671,Snacks,48,01-02-2021 08:23,1.25,15240,Mumbai,17.478,367.038,Male,Cash
575113,21668,Beverages,12,01-02-2021 08:23,1.25,15240,Mumbai,10.6225,223.0725,Male,Cash
575114,21670,"Eggs, Meat & Fish",12,01-02-2021 08:23,1.25,15240,Mumbai,44.335,931.035,Male,Ewallet
575115,17013D,Fruits & Veggies,96,01-02-2021 08:23,0.42,15240,Mumbai,8.214,172.494,Male,Credit card
575116,17096,Oil & Masala,48,01-02-2021 08:23,0.21,15240,Mumbai,18.639,391.419,Male,Cash
575117,22469,"Eggs, Meat & Fish",12,01-02-2021 08:23,1.65,15240,Mumbai,15.291,321.111,Female,Cash
575118,22077,"Eggs, Meat & Fish",12,01-02-2021 08:23,1.65,15240,Mumbai,40.985,860.685,Male,Cash
575119,79321,Snacks,4,01-02-2021 08:23,4.95,15240,Mumbai,1.649,34.629,Female,Ewallet
575120,21843,Bakery,1,01-02-2021 08:23,10.95,15240,Mumbai,14.7315,309.3615,Female,Credit card
575121,22835,Food Grains,4,01-02-2021 08:23,4.65,15240,Mumbai,25.494,535.374,Female,Cash
575122,22083,"Eggs, Meat & Fish",12,01-02-2021 08:23,2.95,15240,Mumbai,26.1315,548.7615,Male,Ewallet
575123,17021,Fruits & Veggies,36,01-02-2021 08:23,0.3,15240,Mumbai,36.3555,763.4655,Female,Credit card
575124,21218,Food Grains,6,01-02-2021 08:23,3.75,15240,Mumbai,4.053,85.113,Female,Credit card
575125,21485,Food Grains,3,01-02-2021 08:23,4.95,15240,Mumbai,5.485,115.185,Male,Ewallet
575126,22374,"Eggs, Meat & Fish",4,01-02-2021 08:31,4.25,14911,Hyderabad,2.568,53.928,Male,Ewallet
575127,22371,Beverages,4,01-02-2021 08:31,4.25,14911,Hyderabad,5.48,115.08,Female,Ewallet
575128,20654,Snacks,12,01-02-2021 08:31,1.25,14911,Hyderabad,5.344,112.224,Male,Ewallet
575129,20658,"Eggs, Meat & Fish",12,01-02-2021 08:31,1.25,14911,Hyderabad,39.824,836.304,Female,Credit card
575130,85039A,Oil & Masala,12,01-02-2021 08:31,1.65,14911,Hyderabad,19.992,419.832,Male,Credit card
575131,85040A,Fruits & Veggies,12,01-02-2021 08:31,1.65,14911,Hyderabad,44.982,944.622,Male,Credit card
575132,48129,Food Grains,2,01-02-2021 08:31,7.95,14911,Hyderabad,25.564,536.844,Male,Credit card
575133,48116,Snacks,2,01-02-2021 08:31,7.95,14911,Hyderabad,22.588,474.348,Female,Ewallet
575134,48194,"Eggs, Meat & Fish",2,01-02-2021 08:31,7.95,14911,Hyderabad,32.7915,688.6215,Female,Credit card
575135,22431,Fruits & Veggies,6,01-02-2021 08:31,1.95,14911,Hyderabad,8.0625,169.3125,Female,Cash
575136,22433,Fruits & Veggies,6,01-02-2021 08:31,1.95,14911,Hyderabad,14.2785,299.8485,Female,Credit card
