InvoiceNo,StockCode,ProductsCategory,Quantity,InvoiceDate,UnitPrice,CustomerID,Cities,Tax 5%,Total,Gender,Payment
602819,21955,Organic Fruits,2,01-03-2021 08:30,7.95,14620,Mumbai,0.639,13.419,Male,Ewallet
602820,48194,Fresh Fruits,2,01-03-2021 08:30,7.95,14620,Mumbai,6.685,140.385,Female,Cash
602821,22556,Soft Drinks,12,01-03-2021 08:30,1.65,14620,Mumbai,0.9575,20.1075,Female,Credit card
602822,22139,Fresh Fruits,3,01-03-2021 08:30,4.95,14620,Mumbai,13.83,290.43,Male,Credit card
602823,84029G,Soft Drinks,4,01-03-2021 08:30,3.75,14620,Mumbai,6.861,144.081,Male,Credit card
602824,21485,Organic Fruits,3,01-03-2021 08:30,4.95,14620,Mumbai,1.3535,28.4235,Female,Credit card
602825,17091J,Fresh Vegetables,6,01-03-2021 08:30,1.25,14620,Mumbai,1.956,41.076,Female,Credit card
602826,84678,Organic Vegetables,6,01-03-2021 08:30,2.55,14620,Mumbai,22.413,470.673,Female,Cash
602827,21700,Dals & Pulses,12,01-03-2021 08:30,0.85,14620,Mumbai,6.603,138.663,Male,Cash
602828,22191,Soft Drinks,2,01-03-2021 08:30,8.5,14620,Mumbai,15.9025,333.9525,Female,Ewallet
602829,22192,Cakes,2,01-03-2021 08:30,8.5,14620,Mumbai,1.25,26.25,Male,Ewallet
602830,21624,Cookies,3,01-03-2021 08:30,5.95,14620,Mumbai,4.154,87.234,Male,Cash
602831,20829,Health Drinks,8,01-03-2021 08:30,2.1,14620,Mumbai,7.39,155.19,Female,Cash
602832,22960,Biscuits,6,01-03-2021 08:30,4.25,14620,Mumbai,34.83,731.43,Female,Credit card
602833,21259,Masalas,2,01-03-2021 08:30,5.95,14620,Mumbai,39.695,833.595,Male,Cash
602834,22021,Fresh Vegetables,6,01-03-2021 08:35,1.65,14740,Mumbai,23.285,488.985,Female,Cash
602835,85206A,Masalas,6,01-03-2021 08:35,1.65,14740,Mumbai,1.7945,37.6845,Male,Credit card
602836,22967,Health Drinks,6,01-03-2021 08:35,2.95,14740,Mumbai,10.13,212.73,Male,Cash
602837,22925,Noodles,2,01-03-2021 08:35,5.95,14740,Mumbai,36.525,767.025,Female,Credit card
602838,21896,Health Drinks,6,01-03-2021 08:35,2.1,14740,Mumbai,14.79,310.59,Female,Cash
602839,22960,Rice,6,01-03-2021 08:35,4.25,14740,Mumbai,1.131,23.751,Female,Cash
602840,20969,Biscuits,4,01-03-2021 08:35,3.75,14740,Mumbai,12.835,269.535,Male,Credit card
602841,22568,Health Drinks,4,01-03-2021 08:35,3.75,14740,Mumbai,27.275,572.775,Female,Credit card
602842,22749,Biscuits,4,01-03-2021 08:35,3.75,14740,Mumbai,13.0025,273.0525,Female,Credit card
602843,22751,Edible Oil & Ghee,4,01-03-2021 08:35,3.75,14740,Mumbai,11.106,233.226,Male,Cash
602844,22587,Edible Oil & Ghee,12,01-03-2021 08:35,0.85,14740,Mumbai,1.079,22.659,Male,Ewallet
602845,22565,Cookies,12,01-03-2021 08:35,0.85,14740,Mumbai,4.942,103.782,Female,Cash
602846,84279B,Health Drinks,8,01-03-2021 08:35,3.75,14740,Mumbai,25.131,527.751,Female,Ewallet
602847,21422,Fish,16,01-03-2021 08:35,0.85,14740,Mumbai,8.01,168.21,Female,Cash
602848,20979,Dals & Pulses,16,01-03-2021 08:35,1.25,14740,Mumbai,21.565,452.865,Male,Credit card
602849,20978,Masalas,16,01-03-2021 08:35,1.25,14740,Mumbai,29.028,609.588,Male,Cash
602850,46000S,Rice,10,01-03-2021 08:35,1.45,14740,Mumbai,16.11,338.31,Female,Cash
602851,22585,Masalas,12,01-03-2021 08:35,1.25,14740,Mumbai,9.777,205.317,Male,Credit card
602852,20967,Noodles,4,01-03-2021 08:35,3.75,14740,Mumbai,8.315,174.615,Female,Credit card
602853,85040A,Chicken,12,01-03-2021 08:35,1.65,14740,Mumbai,16.814,353.094,Male,Ewallet
602854,22969,Biscuits,12,01-03-2021 08:35,1.45,14740,Mumbai,17.185,360.885,Male,Ewallet
602855,22926,Cookies,2,01-03-2021 08:35,5.95,14740,Mumbai,1.93,40.53,Male,Ewallet
602856,22783,Cakes,4,01-03-2021 08:35,16.95,14740,Mumbai,26.388,554.148,Male,Cash
602857,21114,Health Drinks,10,01-03-2021 08:35,1.25,14740,Mumbai,16.4,344.4,Female,Cash
602858,21391,Dals & Pulses,12,01-03-2021 08:35,2.1,14740,Mumbai,9.285,194.985,Male,Ewallet
602859,22961,Biscuits,12,01-03-2021 08:35,1.45,14740,Mumbai,30.19,633.99,Male,Cash
602860,22962,Fresh Fruits,12,01-03-2021 08:35,0.85,14740,Mumbai,18.49,388.29,Female,Credit card
602861,22963,Fresh Fruits,12,01-03-2021 08:35,0.85,14740,Mumbai,9.898,207.858,Female,Ewallet
602862,22993,Organic Vegetables,12,01-03-2021 08:35,1.25,14740,Mumbai,20.545,431.445,Female,Cash
602863,22957,Health Drinks,6,01-03-2021 08:35,2.95,14740,Mumbai,7.43,156.03,Male,Ewallet
602864,22957,Dals & Pulses,6,01-03-2021 08:49,2.95,13880,Mumbai,1.148,24.108,Male,Cash
602865,22967,Health Drinks,6,01-03-2021 08:49,2.95,13880,Mumbai,34.956,734.076,Female,Ewallet
602866,20971,Cakes,12,01-03-2021 08:49,1.25,13880,Mumbai,3.47,72.87,Female,Ewallet
602867,22147,Cookies,12,01-03-2021 08:49,1.45,13880,Mumbai,9.83,206.43,Female,Credit card
602868,22854,Biscuits,4,01-03-2021 08:49,4.95,13880,Mumbai,10.128,212.688,Female,Ewallet
602869,22457,Cakes,6,01-03-2021 08:49,2.95,13880,Mumbai,6.06,127.26,Female,Credit card
602870,21891,Spices,12,01-03-2021 08:49,1.25,13880,Mumbai,9.989,209.769,Male,Ewallet
602871,22857,Breads & Buns,24,01-03-2021 08:49,0.85,13880,Mumbai,30.368,637.728,Male,Cash
602872,22720,Mutton,12,01-03-2021 08:49,4.95,13880,Mumbai,6.322,132.762,Female,Cash
