InvoiceNo,StockCode,ProductsCategory,Quantity,InvoiceDate,UnitPrice,CustomerID,Cities,Tax 5%,Total,Gender,Payment
539993,22386,Beverages,10,04-01-2021 10:00,1.95,13313,Mumbai,29.805,625.905,Male,Cash
539994,21499,Oil & Masala,25,04-01-2021 10:00,0.42,13313,Mumbai,3.655,76.755,Male,Cash
539995,21498,Snacks,25,04-01-2021 10:00,0.42,13313,Mumbai,13.959,293.139,Male,Credit card
539996,22379,"Eggs, Meat & Fish",5,04-01-2021 10:00,2.1,13313,Mumbai,8.484,178.164,Female,Ewallet
539997,20718,Fruits & Veggies,10,04-01-2021 10:00,1.25,13313,Mumbai,2.279,47.859,Female,Cash
539998,85099B,Fruits & Veggies,10,04-01-2021 10:00,1.95,13313,Mumbai,11.28,236.88,Female,Ewallet
539999,20682,"Eggs, Meat & Fish",6,04-01-2021 10:00,3.25,13313,Mumbai,14.52,304.92,Male,Cash
540000,22961,"Eggs, Meat & Fish",12,04-01-2021 10:00,1.45,13313,Mumbai,2.223,46.683,Male,Credit card
540001,22667,Oil & Masala,6,04-01-2021 10:00,2.95,13313,Mumbai,7.83,164.43,Male,Credit card
540002,22898,"Eggs, Meat & Fish",8,04-01-2021 10:00,1.95,13313,Mumbai,20.997,440.937,Female,Ewallet
540012,22896,Fruits & Veggies,6,04-01-2021 10:00,2.55,13313,Mumbai,9.2125,193.4625,Female,Cash
540004,22303,Oil & Masala,6,04-01-2021 10:00,2.55,13313,Mumbai,7.032,147.672,Female,Ewallet
540005,22302,Bakery,6,04-01-2021 10:00,2.55,13313,Mumbai,4.154,87.234,Male,Ewallet
540006,85123A,Food Grains,12,04-01-2021 10:00,2.95,13313,Mumbai,3.2495,68.2395,Female,Credit card
540007,22808,"Eggs, Meat & Fish",12,04-01-2021 10:00,2.95,13313,Mumbai,38.78,814.38,Male,Ewallet
540008,22458,Snacks,8,04-01-2021 10:00,2.55,13313,Mumbai,16.353,343.413,Female,Ewallet
540009,22862,Fruits & Veggies,4,04-01-2021 10:00,4.25,13313,Mumbai,18.1615,381.3915,Female,Cash
540010,22830,Snacks,-1,04-01-2021 10:09,0,,Mumbai,6.35,133.35,Male,Cash
540011,85064,Beverages,-12,04-01-2021 10:12,0,,Mumbai,18.7775,394.3275,Female,Ewallet
540012,21784,"Eggs, Meat & Fish",-10,04-01-2021 10:12,0,,Mumbai,9.958,209.118,Female,Credit card
540013,84689,Oil & Masala,5,04-01-2021 10:15,0,,Mumbai,1.5305,32.1405,Male,Ewallet
540014,84675,Bakery,2,04-01-2021 10:16,0,,Mumbai,5.789,121.569,Male,Ewallet
540015,20892,Fruits & Veggies,-1,04-01-2021 10:16,0,,Mumbai,1.448,30.408,Female,Credit card
540016,84499,Bakery,-9,04-01-2021 10:17,0,,Mumbai,44.5365,935.2665,Female,Cash
540017,21733,Snacks,32,04-01-2021 10:22,2.55,18097,Mumbai,13.983,293.643,Male,Cash
540018,22062,Fruits & Veggies,24,04-01-2021 10:22,2.95,18097,Mumbai,4.0465,84.9765,Male,Credit card
540019,22060,Fruits & Veggies,6,04-01-2021 10:22,9.95,18097,Mumbai,33.725,708.225,Male,Ewallet
540020,22151,Snacks,48,04-01-2021 10:22,0.42,18097,Mumbai,17.424,365.904,Female,Ewallet
540021,22508,Bakery,16,04-01-2021 10:22,3.39,18097,Mumbai,21.78,457.38,Male,Cash
540022,21411,Fruits & Veggies,12,04-01-2021 10:22,4.25,18097,Mumbai,21.9775,461.5275,Male,Ewallet
540023,22644,Beverages,60,04-01-2021 10:22,1.45,18097,Mumbai,29.559,620.739,Male,Credit card
540024,70006,Beverages,48,04-01-2021 10:22,0.42,18097,Mumbai,13.038,273.798,Female,Ewallet
540025,21231,"Eggs, Meat & Fish",24,04-01-2021 10:22,1.25,18097,Mumbai,10.752,225.792,Female,Credit card
540026,21911,Oil & Masala,12,04-01-2021 10:23,1.65,16656,Mumbai,4.5805,96.1905,Female,Cash
540027,22625,Oil & Masala,8,04-01-2021 10:23,8.5,16656,Mumbai,33.1065,695.2365,Female,Credit card
540028,21259,Bakery,24,04-01-2021 10:23,4.95,16656,Mumbai,41.625,874.125,Female,Credit card
540029,21790,Beverages,144,04-01-2021 10:23,0.72,16656,Mumbai,4.5675,95.9175,Male,Cash
540120,84970S,Fruits & Veggies,12,04-01-2021 10:37,0.85,16875,Mumbai,7.888,165.648,Female,Cash
540121,22846,Snacks,1,04-01-2021 10:37,16.95,16875,Mumbai,6.087,127.827,Male,Ewallet
540122,22624,Oil & Masala,2,04-01-2021 10:37,8.5,16875,Mumbai,41.29,867.09,Male,Cash
540123,22767,Snacks,4,04-01-2021 10:37,9.95,16875,Mumbai,7.995,167.895,Male,Ewallet
540124,22963,Snacks,12,04-01-2021 10:37,0.85,16875,Mumbai,0.6045,12.6945,Female,Credit card
540125,22962,"Eggs, Meat & Fish",12,04-01-2021 10:37,0.85,16875,Mumbai,32.095,673.995,Male,Credit card
540126,22427,Fruits & Veggies,3,04-01-2021 10:37,5.95,16875,Mumbai,11.7465,246.6765,Male,Ewallet
540127,22796,Beverages,2,04-01-2021 10:37,9.95,16875,Mumbai,8.377,175.917,Male,Credit card
540128,22193,Oil & Masala,2,04-01-2021 10:37,8.5,16875,Mumbai,14.955,314.055,Male,Ewallet
540129,22191,Fruits & Veggies,2,04-01-2021 10:37,8.5,16875,Mumbai,11.9865,251.7165,Male,Credit card
540040,84970L,"Eggs, Meat & Fish",12,04-01-2021 10:37,0.95,16875,Mumbai,33.235,697.935,Male,Credit card
540041,22907,Snacks,12,04-01-2021 10:37,0.85,16875,Mumbai,10.1325,212.7825,Male,Credit card
540042,22768,Beverages,2,04-01-2021 10:37,9.95,16875,Mumbai,2.31,48.51,Female,Cash
540043,22961,Bakery,12,04-01-2021 10:37,1.45,16875,Mumbai,4.4075,92.5575,Female,Cash
540044,22171,Oil & Masala,2,04-01-2021 10:37,8.5,16875,Mumbai,7.863,165.123,Male,Ewallet
540045,84978,Snacks,12,04-01-2021 10:37,1.25,16875,Mumbai,14.8185,311.1885,Female,Ewallet
540046,22776,Food Grains,2,04-01-2021 10:37,9.95,16875,Mumbai,35.42,743.82,Female,Ewallet
540047,84378,"Eggs, Meat & Fish",12,04-01-2021 10:37,1.25,16875,Mumbai,5.567,116.907,Male,Ewallet
540048,22847,Bakery,1,04-01-2021 10:37,16.95,16875,Mumbai,29.008,609.168,Female,Credit card
540049,22720,"Eggs, Meat & Fish",3,04-01-2021 10:37,4.95,16875,Mumbai,3.0125,63.2625,Male,Ewallet
540050,22457,Bakery,6,04-01-2021 10:37,2.95,16875,Mumbai,8.712,182.952,Male,Ewallet
540051,22969,Bakery,12,04-01-2021 10:37,1.45,16875,Mumbai,21.063,442.323,Male,Cash
540052,84946,Snacks,72,04-01-2021 10:37,1.06,13094,Mumbai,1.6815,35.3115,Male,Cash
540053,84813,Fruits & Veggies,8,04-01-2021 10:38,3.95,17315,Mumbai,1.549,32.529,Female,Cash
540054,47504K,Beverages,24,04-01-2021 10:38,0.85,17315,Mumbai,12.37,259.77,Male,Cash
540055,21381,Snacks,2,04-01-2021 10:38,1.69,17315,Mumbai,18.915,397.215,Male,Ewallet
540056,22699,Beverages,1,04-01-2021 10:38,2.95,17315,Mumbai,16.743,351.603,Female,Cash
540057,85062,"Eggs, Meat & Fish",12,04-01-2021 10:38,1.65,17315,Mumbai,36.39,764.19,Male,Cash
540058,22780,Oil & Masala,1,04-01-2021 10:38,4.25,17315,Mumbai,16.794,352.674,Male,Ewallet
540059,22779,Snacks,1,04-01-2021 10:38,4.25,17315,Mumbai,12.036,252.756,Male,Credit card
540060,22178,Bakery,15,04-01-2021 10:38,1.25,17315,Mumbai,2.3535,49.4235,Female,Credit card
540061,21034,Bakery,1,04-01-2021 10:38,0.95,17315,Mumbai,4.9845,104.6745,Female,Credit card
540062,84949,Fruits & Veggies,6,04-01-2021 10:38,1.65,17315,Mumbai,13.2225,277.6725,Female,Ewallet
540063,85062,Food Grains,6,04-01-2021 10:38,1.65,17315,Mumbai,6.9825,146.6325,Female,Cash
540064,22403,Food Grains,24,04-01-2021 10:38,0.42,17315,Mumbai,2.7725,58.2225,Male,Credit card
540065,84766,Food Grains,12,04-01-2021 10:38,1.95,17315,Mumbai,6.4455,135.3555,Female,Cash
540066,21034,Food Grains,1,04-01-2021 10:38,0.95,17315,Mumbai,5.999,125.979,Male,Credit card
540067,21615,"Eggs, Meat & Fish",12,04-01-2021 10:38,1.25,17315,Mumbai,17.625,370.125,Female,Credit card
540068,21618,Fruits & Veggies,12,04-01-2021 10:38,1.25,17315,Mumbai,43.55,914.55,Female,Credit card
540069,21306,Food Grains,-1,04-01-2021 10:48,2.1,14606,Mumbai,9.88,207.48,Female,Cash
540070,84352,Beverages,-1,04-01-2021 10:48,16.95,14606,Mumbai,9.726,204.246,Female,Ewallet
540071,22423,Food Grains,-1,04-01-2021 10:48,12.75,14606,Mumbai,8.661,181.881,Male,Ewallet
540072,21055,Fruits & Veggies,-6,04-01-2021 11:08,8.95,15379,Mumbai,3.594,75.474,Female,Ewallet
540073,22274,Snacks,-6,04-01-2021 11:08,2.95,15379,Mumbai,14.313,300.573,Female,Ewallet
540074,85230F,Snacks,-48,04-01-2021 11:10,0,,Mumbai,4.062,85.302,Female,Credit card
540075,22158,Snacks,-120,04-01-2021 11:10,0,,Mumbai,28.02,588.42,Male,Ewallet
540076,22501,Oil & Masala,-100,04-01-2021 11:13,0,,Mumbai,9.34,196.14,Male,Cash
540077,22501,Snacks,30,04-01-2021 11:13,0,,Mumbai,11.0115,231.2415,Female,Ewallet
540078,22502,Fruits & Veggies,-100,04-01-2021 11:14,0,,Mumbai,13.456,282.576,Male,Credit card
540079,22794,"Eggs, Meat & Fish",1,04-01-2021 11:30,7.95,16255,Mumbai,22.74,477.54,Female,Credit card
540080,22588,Oil & Masala,2,04-01-2021 11:30,2.55,16255,Mumbai,8.377,175.917,Male,Cash
540081,22961,"Eggs, Meat & Fish",6,04-01-2021 11:30,1.45,16255,Mumbai,22.428,470.988,Female,Credit card
540082,22585,Bakery,5,04-01-2021 11:30,1.25,16255,Mumbai,14.694,308.574,Female,Cash
540083,21080,"Eggs, Meat & Fish",5,04-01-2021 11:30,0.85,16255,Mumbai,29.475,618.975,Male,Ewallet
540084,22851,Snacks,2,04-01-2021 11:30,0.85,16255,Mumbai,14.55,305.55,Male,Ewallet
540085,22723,Snacks,3,04-01-2021 11:30,3.95,16255,Mumbai,1.974,41.454,Female,Cash
